"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","Puma","Waterbottles","tchooz","15","tchooz:9115219198209",,"USD","true",,"unisex","false","TR CORE Waterbottle","2026-05-22T03:00:12Z","Yellow","X","White And Teal","Navy",,,,,,,,,"5381340","https://tchoozshoes.com/products/tr-core-waterbottle","does_not_exist"
"in_stock","Puma","Ball","tchooz","30","tchooz:9115219165441",,"USD","true",,"unisex","false","ATTACANTO Graphic ball BLUE 3","2026-05-22T03:00:12Z","5",,,,,,,,,,,,"8473902","https://tchoozshoes.com/products/attacanto-graphic-ball-blue-3","does_not_exist"
"in_stock","Puma","Bags","tchooz","56","tchooz:9115219132673",,"USD","true",,"unisex","false","PUMA CHALLENGER Small Sports Bag","2026-05-22T03:00:12Z","X","Navy",,,,,,,,,,,"9114330","https://tchoozshoes.com/products/puma-challenger-small-sports-bag","does_not_exist"
"in_stock","Puma","Bags","tchooz","60","tchooz:9115219099905",,"USD","true",,"unisex","false","PUMA CHALLENGER Sports Bag","2026-05-22T03:00:12Z","Navy",,,,,,,,,,,,"9114508","https://tchoozshoes.com/products/puma-challenger-sports-bag","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","35","tchooz:9115218903297","30","USD","true","14.29","women","true","Divecat v2 Lite Women","2026-05-22T03:00:12Z","37","38","40.5",,,,,,,,,,"37482333","https://tchoozshoes.com/products/divecat-v2-lite-women","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","135","tchooz:9115218870529","70","USD","true","48.15","men","true","CA Luxe Men","2026-05-22T03:00:12Z","41","42","44","44.5","45",,,,,,,,"40082802","https://tchoozshoes.com/products/ca-luxe-men","does_not_exist"
"in_stock","Puma","Tights","tchooz","52","tchooz:9115218772225",,"USD","true",,"women","false","ESS Small No.1 HW Leggings Women","2026-05-22T03:00:12Z","S","M","L",,,,,,,,,,"68242965","https://tchoozshoes.com/products/ess-small-no-1-hw-leggings-women","does_not_exist"
"in_stock","Puma","Jackets","tchooz","115","tchooz:9115218673921",,"USD","true",,"men","false","ESS Padded Vest Men","2026-05-22T03:00:12Z","Navy","S","M",,,,,,,,,,"68520916","https://tchoozshoes.com/products/ess-padded-vest-men","does_not_exist"
"in_stock","Puma","Hoodies","tchooz","82","tchooz:9115218608385","40","USD","true","51.22","women","true","ESS ELEVATED Velour Rib Hoodie Women","2026-05-22T03:00:12Z","S","L",,,,,,,,,,,"68810787","https://tchoozshoes.com/products/ess-elevated-velour-rib-hoodie-women","does_not_exist"
"in_stock","Puma","Hoodies","tchooz","125","tchooz:9115218542849",,"USD","true",,"women","false","Hooded Sweat Suit FL cl Women","2026-05-22T03:00:12Z","XS",,,,,,,,,,,,"68816201","https://tchoozshoes.com/products/hooded-sweat-suit-fl-cl-women","does_not_exist"
"in_stock","Puma","Tees","tchooz","37","tchooz:9115218444545","30","USD","true","18.92","men","true","ESS Relaxed Small No. 1 Logo Tee Men","2026-05-22T03:00:12Z","L","XXL",,,,,,,,,,,"68915387","https://tchoozshoes.com/products/ess-relaxed-small-no-1-logo-tee-men","does_not_exist"
"in_stock","Puma","Pants","tchooz","82","tchooz:9115218411777","50","USD","true","39.02","women","true","DARE TO Flared Pants Women","2026-05-22T03:00:12Z","M","L",,,,,,,,,,,"63214701","https://tchoozshoes.com/products/dare-to-flared-pants-women","does_not_exist"
"in_stock","New Balance","Low Boots","tchooz","199","tchooz:9115218379009","139","USD","true","30.15","men","true","NEW BALANCE-BB550 Men","2026-05-22T03:00:12Z","42","42.5","44",,,,,,,,,,"BB550WT1","https://tchoozshoes.com/products/new-balance-bb550-men","does_not_exist"
"in_stock","New Balance","Low Boots","tchooz","199","tchooz:9115218346241","139","USD","true","30.15","women","true","NEW BALANCE-BB550 Women","2026-05-22T03:00:12Z","37",,,,,,,,,,,,"BB550WT1-w","https://tchoozshoes.com/products/new-balance-bb550-women","does_not_exist"
"in_stock","On","Low Boots","tchooz","195","tchooz:9115218313473",,"USD","true",,"women","false","Cloudswift 4 Women","2026-05-22T03:00:12Z","35.5","36","37","37.5","40.5","41",,,,,,,"3Wf10110299","https://tchoozshoes.com/products/cloudswift-4-women","does_not_exist"
"in_stock","New Balance","Low boots","tchooz","159","tchooz:9115218247937","111","USD","true","30.19","men","true","NEW BALANCE-BB480 Men","2026-05-22T03:00:12Z","44.5","45","Navy",,,,,,,,,,"bb480peo","https://tchoozshoes.com/products/new-balance-bb480-men","does_not_exist"
