product_key,sku_id,brand,style_code,catalog_product_name,retail_price_usd,match_type,match_score,matched_products_count,match_reason,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,num_competitors,competitors_on_sale_count,competitors_on_sale_ratio,competitors_in_stock_count,competitors_out_of_stock_count,latest_scraped_at,cheapest_competitor_name,has_competitor_data,data_freshness_hours
ADIDAS|IP2970,SP-E0B825C9D5,ADIDAS,IP2970,"3-Stripes Leggings, Green",24.15,exact_style,1.0,1,same normalized brand and style_code,22.0,22.0,22.0,1,1,1.0,1,0,2026-04-10T14:56:43Z,adidas_lb,1,1077.17
ADIDAS|IS7049,SP-2AE7A078CB,ADIDAS,IS7049,Adidas Classic 3 Bar Logo Training Backpack Men Dark Blue/White,41.52,exact_style,1.0,2,same normalized brand and style_code,37.0,37.5,38.0,2,0,0.0,2,0,2026-04-10T14:28:18Z,adidas_lb,1,1077.64
ADIDAS|IU2415,SP-625A952A40,ADIDAS,IU2415,"3-Stripes Bra Long-Sleeve Top, Multicolour",22.04,exact_style,1.0,1,same normalized brand and style_code,22.0,22.0,22.0,1,1,1.0,1,0,2026-04-10T14:59:46Z,adidas_lb,1,1077.12
ADIDAS|IU2430,SP-14F06CB1CC,ADIDAS,IU2430,"3-Stripes Bodysuit, Black",31.75,exact_style,1.0,1,same normalized brand and style_code,30.0,30.0,30.0,1,1,1.0,1,0,2026-04-10T14:59:49Z,adidas_lb,1,1077.12
ADIDAS|IU2522,SP-154D3E9BB1,ADIDAS,IU2522,"3-Stripes Leggings, Black",38.91,exact_style,1.0,1,same normalized brand and style_code,34.0,34.0,34.0,1,1,1.0,1,0,2026-04-10T14:59:52Z,adidas_lb,1,1077.12
ADIDAS|IU2526,SP-0F8FD95EB4,ADIDAS,IU2526,"3-Stripes Skirt, Black",27.39,exact_style,1.0,1,same normalized brand and style_code,27.0,27.0,27.0,1,1,1.0,1,0,2026-04-10T14:59:52Z,adidas_lb,1,1077.12
ADIDAS|IW5977,SP-EEC5C6A0BE,ADIDAS,IW5977,"AEROREADY Sereno Cut 3-Stripes Track Suit, Blue",129.32,exact_style,1.0,1,same normalized brand and style_code,111.0,111.0,111.0,1,0,0.0,1,0,2026-04-10T14:28:28Z,adidas_lb,1,1077.64
ADIDAS|IX1248,SP-8DA54A884E,ADIDAS,IX1248,Adidas All Szn Men Sportswear Hoody Black,107.34,exact_style,1.0,2,same normalized brand and style_code,95.0,95.5,96.0,2,0,0.0,2,0,2026-04-10T14:28:29Z,adidas_lb,1,1077.64
ADIDAS|IX3178,SP-100050E78D,ADIDAS,IX3178,Adidas Power Vii Unisex Training Bag Alumina/Black,49.2,exact_style,1.0,2,same normalized brand and style_code,41.0,43.0,45.0,2,2,1.0,2,0,2026-04-10T15:01:22Z,mikesport,1,1077.09
ADIDAS|IY2155,SP-80442AC9A2,ADIDAS,IY2155,"3-Stripes French Terry Shorts, Purple",27.92,exact_style,1.0,1,same normalized brand and style_code,24.0,24.0,24.0,1,1,1.0,1,0,2026-04-10T15:02:04Z,adidas_lb,1,1077.08
