"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sizes_available/12","sizes_available/13","sizes_available/14","sizes_available/15","sizes_available/16","sizes_available/17","sku_id","source_url","style_code"
"in_stock","Adidas","Boys Clothing","adidas_lb","3960000","adidas_lb:A9_HR7435_ONE","2610000","LBP","true","34.09","boys","true","Kids 3-Stripes Swim Shorts, Blue","2026-04-30T03:16:59Z","11-12 Yrs","13-14 Yrs","9-10 Yrs","176",,,,,,,,,,,,,,,"A9_HR7435_ONE","https://www.adidas.com.lb/en/adidas-outlet-kids-3-stripes-swim-shorts-blue/A9_HR7435_ONE.html","HR7435"
"in_stock","Adidas","Shorts","adidas_lb","6030000","adidas_lb:A9_HR8254_ONE","2430000","LBP","true","59.7","men","true","Juventus 23/24 Home Shorts, Black","2026-04-30T03:16:59Z","S",,,,,,,,,,,,,,,,,,"A9_HR8254_ONE","https://www.adidas.com.lb/en/adidas-outlet-juventus-23-24-home-shorts-black/A9_HR8254_ONE.html","HR8254"
"in_stock","Adidas","Tops","adidas_lb","12870000","adidas_lb:A9_HR8255_ONE","5130000","LBP","true","60.14","men","true","Juventus 23/24 Away Jersey, White","2026-04-30T03:17:00Z","M","L",,,,,,,,,,,,,,,,,"A9_HR8255_ONE","https://www.adidas.com.lb/en/adidas-outlet-juventus-23-24-away-jersey-white/A9_HR8255_ONE.html","HR8255"
"in_stock","Adidas","Tops","adidas_lb","12870000","adidas_lb:A9_HR8256_ONE","2610000","LBP","true","79.72","men","true","Juventus 23/24 Home Jersey, Black","2026-04-30T03:17:00Z","S",,,,,,,,,,,,,,,,,,"A9_HR8256_ONE","https://www.adidas.com.lb/en/adidas-outlet-juventus-23-24-home-jersey-black/A9_HR8256_ONE.html","HR8256"
"in_stock","Adidas","Joggers & Trousers","adidas_lb","10890000","adidas_lb:A9_HR8574_ONE","5490000","LBP","true","49.59","men","true","Rekive Tracksuit Bottom, Grey","2026-04-30T03:17:01Z","S",,,,,,,,,,,,,,,,,,"A9_HR8574_ONE","https://www.adidas.com.lb/en/adidas-outlet-rekive-tracksuit-bottom-grey/A9_HR8574_ONE.html","HR8574"
"in_stock","Adidas","Tops","adidas_lb","5490000","adidas_lb:A9_HR8595_ONE","2790000","LBP","true","49.18","men","true","adidas Rekive T-Shirt, Grey","2026-04-30T03:17:01Z","S",,,,,,,,,,,,,,,,,,"A9_HR8595_ONE","https://www.adidas.com.lb/en/adidas-outlet-adidas-rekive-t-shirt-grey/A9_HR8595_ONE.html","HR8595"
"in_stock","Adidas","Tops","adidas_lb","5490000","adidas_lb:A9_HR8623_ONE","2790000","LBP","true","49.18","men","true","Essentials+ Made With Hemp T-Shirt, Black","2026-04-30T03:17:01Z","XS","S",,,,,,,,,,,,,,,,,"A9_HR8623_ONE","https://www.adidas.com.lb/en/adidas-outlet-essentials--made-with-hemp-t-shirt-black/A9_HR8623_ONE.html","HR8623"
"in_stock","Adidas","Clothing","adidas_lb","18720000","adidas_lb:A9_HR8891_ONE","3780000","LBP","true","79.81","women","true","Truestrength Yoga 7/8 Tight, Grey","2026-04-30T03:17:02Z","XS","L",,,,,,,,,,,,,,,,,"A9_HR8891_ONE","https://www.adidas.com.lb/en/adidas-outlet-truestrength-yoga-7-8-tight-grey/A9_HR8891_ONE.html","HR8891"
"in_stock","Adidas","Tracksuits","adidas_lb","19980000","adidas_lb:A9_HR9175_ONE","3960000","LBP","true","80.18","women","true","By Stella Mccartney Truecasuals Sportswear Tracksuit Bottoms, Brown","2026-04-30T03:17:02Z","XS","S",,,,,,,,,,,,,,,,,"A9_HR9175_ONE","https://www.adidas.com.lb/en/outlet-adidas-by-stella-mccartney-truecasuals-sportswear-tracksuit-bottoms-brown/A9_HR9175_ONE.html","HR9175"
"in_stock","Adidas","Boys Clothing","adidas_lb","6840000","adidas_lb:A9_HR9483_ONE","4410000","LBP","true","35.53","unisex","true","Unisex Kids Finding Nemo Tee Set, White","2026-04-30T03:17:02Z","4-5 Yrs","5-6 Yrs","7-8 Yrs","6-7 Yrs","9-10 Yrs",,,,,,,,,,,,,,"A9_HR9483_ONE","https://www.adidas.com.lb/en/adidas-outlet-unisex-kids-finding-nemo-tee-set-white/A9_HR9483_ONE.html","HR9483"
