style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
JW6270,Adidas Mercedes - Amg Petronas Formula One Team Driver Unisex Motor-Spor Cap White/Black,"Unisex Mercedes - AMG Petronas Formula One Team Driver Cap, White",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JW7584,Adidas All Me 7/8 Women Training 7/8 Tight Black,"All Me 7/8 Leggings, Black",96.0,USD,8550000.0,LBP,96.0,95.0,8640000.0,8550000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JW9707,Adidas Train Essentials Seasonal All Over Print Men Training T-Shirt Black,"Train Essentials Seasonal All Over Print T-Shirt, Black",38.0,USD,3150000.0,LBP,38.0,35.0,3420000.0,3150000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,3.0,270000.0
JX0213,Adidas Adicolor Classic Men Original Backpack Night Indigo,"Unisex Adicolor Classic Backpack, Blue",48.0,USD,4230000.0,LBP,48.0,47.0,4320000.0,4230000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JX0217,Adidas Adicolor Small Unisex Original Backpack Black/White,"Unisex Adicolor Small Backpack, Black",42.0,USD,3690000.0,LBP,42.0,41.0,3780000.0,3690000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JX3142,Adidas Essentials Linear Oversized Jogger Women Originals Pant Cream White,"Essentials Linear Jogger Pant Oversized, Beige",67.0,USD,5580000.0,LBP,67.0,62.0,6030000.0,5580000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,5.0,450000.0
JY4158,Adidas Smiley 3 Pairs Per Pack Unisex Sportswear Sock Grey/Yellow/Black,"Kids Unisex Adidas Smiley Socks - 3 Pairs, Multicolour",20.0,USD,1620000.0,LBP,20.0,18.0,1800000.0,1620000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
JZ0506,Adidas Running Essential Climacool 6 Panel Baseball Unisex Training Cap Black,"Unisex Running Essential Climacool 6 Panel Baseball Cap, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JZ0507,Adidas Running Essential Climacool 6 Panel Baseball Unisex Training Cap White,"Unisex Running Essential Climacool 6 Panel Baseball Cap, White",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JZ3544,Adidas Marvel Spider-Man Little-Boys Sportswear Set Off White/Dark Blue,"Kids Unisex Adidas Marvel Spider-Man Sport Set, White",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JZ7808,Adidas Adi365 Essentials T-Shirt Women Running T-Shirt Black,"adi365 Running Essentials T-shirt, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA0138,Adidas Run Essentials Full Length Women Running Tight Black,"Run Essentials Full Length Leggings, Black",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA0242,Adidas Minecraft Training Kids-Boys Sportswear T-Shirt Silver Green,"Kids Unisex Adidas Minecraft Training T-Shirt, Green",42.0,USD,3690000.0,LBP,42.0,41.0,3780000.0,3690000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA0243,Adidas Minecraft Kids-Boys Sportswear Short Black,"Kids Unisex Adidas Minecraft Training Short, Black",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
